name,detail,url
access-keys-rotated,アクティブなアクセスキーが、maxAccessKeyAge で指定された日数内にローテーションされるかどうかを確認します。アクセスキーが最大日数の maxAccessKeyAge を超えても更新されていない場合、ルールは NON_COMPLIANT です。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/access-keys-rotated.html
account-part-of-organizations,AWS アカウントが AWS Organizations の一部であるかどうかを確認します。AWS アカウントが AWS Organizations の一部ではない場合、または AWS Organizations のマスターアカウント ID がルールパラメータ MasterAccountId と一致しない場合は、ルールは NON_COMPLIANT です。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/account-part-of-organizations.html
acm-certificate-expiration-check,アカウントの AWS Certificate Manager 証明書が、指定の日数以内で有効期限切れとしてマークされているかどうかを確認します。ACM が提供する証明書は自動的に更新されます。ACM は、ユーザーがインポートした証明書を自動的に更新しません。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/acm-certificate-expiration-check.html
alb-http-drop-invalid-header-enabled,AWS Application Load Balancers (ALB) が http ヘッダーをドロップするように設定されていることをルールが評価するかどうかを確認します。routing.http.drop_invalid_header_fields.enabled の値が false に設定されている場合、ルールは NON_COMPLIANT です。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/alb-http-drop-invalid-header-enabled.html
alb-http-to-https-redirection-check,HTTP から HTTPS へのリダイレクトが Application Load Balancer のすべての HTTP リスナーで設定されているかどうかを確認します。Application Load Balancer の 1 つまたは複数の HTTP リスナーに HTTP から HTTPS へのリダイレクトが設定されていない場合、ルールは NON_COMPLIANT です。また、1 つまたは複数の HTTP リスナーがリダイレクトではなく HTTP リスナーへの転送を持っている場合でも、ルールは NON_COMPLIANT です。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/alb-http-to-https-redirection-check.html
alb-waf-enabled,Application Load Balancer (ALB) でウェブアプリケーションファイアウォール (WAF) が有効になっているかどうかを確認します。key: waf.enabled が false に設定されている場合、このルールは NON_COMPLIANT です。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/alb-waf-enabled.html
api-gw-associated-with-waf,Amazon API Gateway API ステージで AWS WAF ウェブ ACL が使用されているかどうかを確認します。AWS WAF ウェブ ACL が使用されていないか、または使用されている AWS ウェブ ACL が、ルールパラメータにリストされているものと一致しない場合、このルールは NON_COMPLIANT です。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/api-gw-associated-with-waf.html
api-gw-cache-enabled-and-encrypted,Amazon API Gateway ステージのすべてのメソッドでキャッシュが有効になっているか、および暗号化されているかどうかを確認します。Amazon API Gateway ステージのいずれかのメソッドでキャッシュが設定されていない場合、またはキャッシュが暗号化されていない場合、ルールは NON_COMPLIANT です。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/api-gw-cache-enabled-and-encrypted.html
api-gw-endpoint-type-check,Amazon API Gateway の API がルールパラメータ endpointConfigurationType で指定されたタイプであることを確認します。REST API がルールパラメータで設定されたエンドポイントタイプと一致しない場合、ルールは NON_COMPLIANT を返します。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/api-gw-endpoint-type-check.html
api-gw-execution-logging-enabled,Amazon API Gateway ステージのすべてのメソッドのログ記録が有効になっていることを確認します。ログ記録が有効でない場合、ルールは NON_COMPLIANT です。loggingLevel が ERROR でも INFO でもない場合、ルールは NON_COMPLIANT です。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/api-gw-execution-logging-enabled.html
api-gw-ssl-enabled,REST API ステージで Secure Sockets Layer (SSL) 証明書が使用されるかどうかを確認します。REST API ステージに関連する SSL 証明書がない場合、このルールは NON_COMPLIANT です。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/api-gw-ssl-enabled.html
api-gw-xray-enabled,Amazon API Gateway REST API で AWS X-Ray トレースが有効になっているかどうかを確認します。X-Ray トレースが有効になっている場合、このルールは COMPLIANT です。そうでない場合は、NON_COMPLIANT です。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/api-gw-xray-enabled.html
approved-amis-by-id,実行中のインスタンスで指定された AMI が使用されているかどうかを確認します。承認済み AMI ID のリストを指定します。実行中のインスタンスで使用されている AMI が、このリストにない場合は NON_COMPLIANT です。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/approved-amis-by-id.html
approved-amis-by-tag,実行中のインスタンスで指定された AMI が使用されているかどうかを確認します。承認済み AMI ID のリストを指定します。実行中のインスタンスで使用されている AMI が、このリストにない場合は NON_COMPLIANT です。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/approved-amis-by-tag.html
aurora-mysql-backtracking-enabled,Amazon Aurora MySQL クラスターでバックトラッキングが有効になっているかどうかを確認します。Aurora クラスターで MySQL が使用されているが、バックトラッキングが有効になっていない場合、このルールは NON_COMPLIANT です。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/aurora-mysql-backtracking-enabled.html
autoscaling-group-elb-healthcheck-required,ロードバランサーに関連付けられた Auto Scaling グループで、Elastic Load Balancing のヘルスチェックが使用されているかどうかを確認します。,https://docs.aws.amazon.com/ja_jp/config/latest/developerguide/autoscaling-group-elb-healthcheck-required.html
